,GEOID,County ,median_rent,monthly_BnB,rent_diff,poverty_rate,premium_pct_median_rent
210,36005035900,Bronx,970.0,2550.0,1580.0,0.423326133909,1.62886597938
211,36005036000,Bronx,1503.0,2970.0,1467.0,0.0496551724138,0.976047904192
212,36005036300,Bronx,903.0,1560.0,657.0,0.488289205703,0.727574750831
217,36005036800,Bronx,1446.0,4330.0,2884.0,0.121654501217,1.99446749654
228,36005038000,Bronx,1132.0,2115.0,983.0,0.408340573414,0.868374558304
229,36005038100,Bronx,1172.0,3270.0,2098.0,0.295897780767,1.79010238908
233,36005038600,Bronx,1282.0,2670.0,1388.0,0.137870855148,1.08268330733
238,36005039200,Bronx,1253.0,3000.0,1747.0,0.272222222222,1.3942537909
242,36005039600,Bronx,1230.0,2835.0,1605.0,0.308628318584,1.30487804878
244,36005039800,Bronx,1299.0,3135.0,1836.0,0.158518518519,1.41339491917
245,36005039901,Bronx,1109.0,1800.0,691.0,0.424543946932,0.623083859333
246,36005039902,Bronx,1080.0,1950.0,870.0,0.391150442478,0.805555555556
248,36005040302,Bronx,1154.0,3900.0,2746.0,0.363636363636,2.37954939341
252,36005040502,Bronx,1116.0,3000.0,1884.0,0.354368932039,1.68817204301
261,36005041800,Bronx,1258.0,2550.0,1292.0,0.331632653061,1.02702702703
262,36005041900,Bronx,1169.0,2400.0,1231.0,0.181575433912,1.05303678358
265,36005042200,Bronx,1298.0,3750.0,2452.0,0.15033557047,1.88906009245
266,36005042300,Bronx,1204.0,3750.0,2546.0,0.375624375624,2.1146179402
267,36005042400,Bronx,1267.0,2370.0,1103.0,0.115942028986,0.870560378848
268,36005042500,Bronx,1211.0,2850.0,1639.0,0.372549019608,1.3534269199
269,36005042600,Bronx,1532.0,2940.0,1408.0,0.121305418719,0.919060052219
272,36005042902,Bronx,1212.0,3900.0,2688.0,0.315637065637,2.21782178218
275,36005043400,Bronx,1181.0,4150.0,2969.0,0.129207383279,2.51397121084
277,36005043600,Bronx,1208.0,2700.0,1492.0,0.138047138047,1.23509933775
282,36005044902,Bronx,1312.0,2325.0,1013.0,0.0438413361169,0.772103658537
283,36005045101,Bronx,1379.0,2640.0,1261.0,0.0226628895184,0.914430746918
290,36005051600,Bronx,1365.0,3990.0,2625.0,0.0,1.92307692308
291,36047000100,Kings,1434.0,8048.57142857,6614.57142857,0.0,4.61267184698
293,36047000301,Kings,1955.0,5485.71428571,3530.71428571,0.0,1.805991962
294,36047000501,Kings,1853.0,5042.5,3189.5,0.0432569974555,1.72126281705
295,36047000502,Kings,1979.0,8655.0,6676.0,0.0714285714286,3.37342091966
296,36047000700,Kings,2138.0,5215.26315789,3077.26315789,0.0118279569892,1.43931859583
297,36047000900,Kings,2460.0,5359.09090909,2899.09090909,0.0224867724868,1.17849223947
298,36047001100,Kings,2682.0,5232.0,2550.0,0.024154589372,0.950782997763
299,36047001300,Kings,2188.0,5220.0,3032.0,0.0153452685422,1.38574040219
300,36047001500,Kings,2156.0,5377.5,3221.5,0.224328593997,1.49420222635
302,36047002000,Kings,1425.0,3000.0,1575.0,0.197986577181,1.10526315789
303,36047002100,Kings,3213.0,6867.14285714,3654.14285714,0.0143129770992,1.13729936419
304,36047002200,Kings,1139.0,2490.0,1351.0,0.246323529412,1.18612818262
305,36047002300,Kings,429.0,5955.0,5526.0,0.409448818898,12.8811188811
308,36047003100,Kings,1661.0,5721.0,4060.0,0.0,2.44431065623
309,36047003300,Kings,2099.0,8345.85365854,6246.85365854,0.114782608696,2.97610941331
310,36047003400,Kings,1357.0,2970.0,1613.0,0.134099616858,1.18865143699
311,36047003500,Kings,1297.0,7786.15384615,6489.15384615,0.0238095238095,5.00320265702
312,36047003600,Kings,1381.0,2475.0,1094.0,0.0467289719626,0.792179580014
313,36047003700,Kings,2581.0,4700.0,2119.0,0.0432432432432,0.820999612553
314,36047003800,Kings,1519.0,3360.0,1841.0,0.0175438596491,1.21198156682
315,36047004100,Kings,2060.0,6079.02439024,4019.02439024,0.0,1.95098271371
316,36047004300,Kings,1768.0,5151.5625,3383.5625,0.0,1.91377969457
318,36047004500,Kings,2094.0,5931.81818182,3837.81818182,0.0,1.83276895025
320,36047004700,Kings,1601.0,8478.46153846,6877.46153846,0.0321931589537,4.29572863114
321,36047004900,Kings,1922.0,7805.45454545,5883.45454545,0.0,3.06111058556
322,36047005000,Kings,1577.0,2670.0,1093.0,0.0231884057971,0.693088142042
323,36047005100,Kings,2101.0,3819.0,1718.0,0.0330097087379,0.817705854355
324,36047005201,Kings,575.0,3200.0,2625.0,0.150501672241,4.5652173913
326,36047005300,Kings,1506.0,5657.14285714,4151.14285714,0.160869565217,2.75640295959
327,36047005400,Kings,1427.0,2505.0,1078.0,0.147794994041,0.755430974071
328,36047005601,Kings,1358.0,3650.0,2292.0,0.0431778929188,1.68777614138
329,36047005602,Kings,1229.0,3870.0,2641.0,0.0626865671642,2.14890154597
330,36047005800,Kings,1315.0,5485.0,4170.0,0.210875331565,3.1711026616
331,36047006000,Kings,1373.0,2730.0,1357.0,0.150387596899,0.988346686089
332,36047006200,Kings,1401.0,2700.0,1299.0,0.159356725146,0.927194860814
333,36047006300,Kings,2207.0,5785.0,3578.0,0.0328947368421,1.621205256
335,36047006600,Kings,1322.0,6900.0,5578.0,0.108140947752,4.21936459909
336,36047006800,Kings,1329.0,3005.0,1676.0,0.264607679466,1.26109857035
337,36047006900,Kings,2235.0,6511.57894737,4276.57894737,0.0518638573744,1.913458142
338,36047007000,Kings,1125.0,8460.0,7335.0,0.104501607717,6.52
340,36047007400,Kings,1442.0,3350.0,1908.0,0.296047098402,1.32316227462
341,36047007500,Kings,2154.0,6428.93617021,4274.93617021,0.0127659574468,1.9846500326
342,36047007600,Kings,1273.0,3450.0,2177.0,0.366137566138,1.71013354281
343,36047007800,Kings,1288.0,2352.0,1064.0,0.236123348018,0.826086956522
344,36047008000,Kings,1371.0,4650.0,3279.0,0.105952380952,2.39168490153
345,36047008200,Kings,1261.0,3120.0,1859.0,0.330158730159,1.47422680412
346,36047008500,Kings,360.0,4474.28571429,4114.28571429,0.478764478764,11.4285714286
348,36047008800,Kings,1481.0,2985.0,1504.0,0.0744680851064,1.01553004727
350,36047009200,Kings,1242.0,2820.0,1578.0,0.385826771654,1.27053140097
351,36047009400,Kings,1239.0,3090.0,1851.0,0.339052287582,1.49394673123
352,36047009600,Kings,1231.0,3547.5,2316.5,0.355366027008,1.88180341186
353,36047009800,Kings,1228.0,3700.0,2472.0,0.467762326169,2.01302931596
354,36047010000,Kings,1063.0,2850.0,1787.0,0.383665065202,1.68109125118
355,36047010100,Kings,1182.0,4640.0,3458.0,0.220573689416,2.9255499154
358,36047010800,Kings,1019.0,2325.0,1306.0,0.361530715005,1.28164867517
359,36047011000,Kings,1299.0,18000.0,16701.0,0.244488977956,12.856812933
363,36047011700,Kings,1655.0,4650.0,2995.0,0.116279069767,1.80966767372
364,36047011800,Kings,1276.0,3135.0,1859.0,0.292598967298,1.45689655172
366,36047012100,Kings,2043.0,5103.75,3060.75,0.0616621983914,1.49816446402
367,36047012200,Kings,1228.0,5400.0,4172.0,0.349005424955,3.39739413681
370,36047012901,Kings,2168.0,6277.5,4109.5,0.122494432071,1.89552583026
371,36047013000,Kings,1213.0,2304.0,1091.0,0.213017751479,0.899422918384
372,36047013100,Kings,1801.0,4907.30769231,3106.30769231,0.0752688172043,1.72476829112
374,36047013300,Kings,2184.0,5912.14285714,3728.14285714,0.0200803212851,1.70702511774
375,36047013400,Kings,1306.0,9000.0,7694.0,0.0479041916168,5.89127105666
376,36047013500,Kings,2250.0,5905.38461538,3655.38461538,0.00817757009346,1.62461538461
378,36047013800,Kings,1491.0,3750.0,2259.0,0.193808882907,1.51509054326
379,36047013900,Kings,1805.0,5785.16129032,3980.16129032,0.0363864491844,2.2050755071
380,36047014000,Kings,1316.0,2550.0,1234.0,0.116389548694,0.937689969605
381,36047014200,Kings,1358.0,4960.0,3602.0,0.190735694823,2.65243004418
382,36047014500,Kings,1465.0,4685.2173913,3220.2173913,0.0417246175243,2.1981006084
383,36047014700,Kings,1791.0,4391.53846154,2600.53846154,0.097619047619,1.45200360778
384,36047014800,Kings,1441.0,2250.0,809.0,0.0869565217391,0.561415683553
386,36047015300,Kings,1960.0,6594.28571429,4634.28571429,0.0,2.36443148688
388,36047015500,Kings,2099.0,6000.0,3901.0,0.0422386483633,1.85850404955
389,36047015700,Kings,2016.0,4785.0,2769.0,0.0,1.37351190476
390,36047015900,Kings,2140.0,5954.48275862,3814.48275862,0.0147783251232,1.78246857879
391,36047016000,Kings,1317.0,2550.0,1233.0,0.184259259259,0.936218678815
392,36047016100,Kings,1936.0,5470.90909091,3534.90909091,0.0914728682171,1.82588279489
393,36047016200,Kings,1455.0,3650.0,2195.0,0.0584415584416,1.50859106529
394,36047016500,Kings,2237.0,7877.30769231,5640.30769231,0.0,2.52137134211
395,36047016600,Kings,2034.0,4680.0,2646.0,0.0466321243523,1.30088495575
396,36047016700,Kings,1866.0,5499.31034483,3633.31034483,0.0789473684211,1.94711165318
397,36047016800,Kings,1256.0,3000.0,1744.0,0.0777096114519,1.38853503185
398,36047016900,Kings,1737.0,4597.5,2860.5,0.211158798283,1.64680483592
399,36047017000,Kings,1488.0,2550.0,1062.0,0.119956379498,0.713709677419
400,36047017100,Kings,2020.0,5133.33333333,3113.33333333,0.0225563909774,1.54125412541
402,36047017400,Kings,1255.0,3300.0,2045.0,0.0810810810811,1.62948207171
406,36047017800,Kings,1296.0,3300.0,2004.0,0.186217008798,1.5462962963
407,36047017900,Kings,1135.0,5500.90909091,4365.90909091,0.179334916865,3.84661593913
409,36047018100,Kings,1490.0,4583.42465753,3093.42465753,0.046178343949,2.07612393123
411,36047018300,Kings,1961.0,4896.6,2935.6,0.0112903225806,1.49699133095
413,36047018501,Kings,452.0,3960.0,3508.0,0.52444076222,7.7610619469
415,36047018700,Kings,1941.0,4080.0,2139.0,0.0585774058577,1.10200927357
417,36047019000,Kings,1154.0,3600.0,2446.0,0.218333333333,2.11958405546
418,36047019100,Kings,1940.0,5899.0,3959.0,0.134686346863,2.04072164948
420,36047019300,Kings,1203.0,5098.18181818,3895.18181818,0.071724137931,3.23789012318
422,36047019500,Kings,1657.0,15202.7027027,13545.7027027,0.0631720430108,8.1748356685
424,36047019700,Kings,1929.0,12060.8571429,10131.8571429,0.134414831981,5.25238835816
425,36047019800,Kings,1290.0,4800.0,3510.0,0.160520607375,2.72093023256
426,36047019900,Kings,1396.0,5039.41176471,3643.41176471,0.0717131474104,2.60989381426
427,36047020000,Kings,1506.0,3900.0,2394.0,0.158516020236,1.58964143426
429,36047020300,Kings,2010.0,4698.29268293,2688.29268293,0.116959064327,1.33745904623
431,36047020500,Kings,1872.0,5021.25,3149.25,0.0187969924812,1.68229166667
433,36047020800,Kings,1235.0,3900.0,2665.0,0.161016949153,2.15789473684
434,36047021100,Kings,1226.0,5323.33333333,4097.33333333,0.165625,3.34203371397
435,36047021300,Kings,1188.0,4113.52941176,2925.52941176,0.260548523207,2.46256684492
438,36047021700,Kings,1118.0,3900.0,2782.0,0.165113182423,2.48837209302
440,36047021900,Kings,1302.0,4221.11111111,2919.11111111,0.161379310345,2.24202082267
442,36047022100,Kings,1193.0,3570.88235294,2377.88235294,0.161449752883,1.99319560179
443,36047022400,Kings,1519.0,2100.0,581.0,0.415094339623,0.382488479263
444,36047022600,Kings,1313.0,1890.0,577.0,0.261904761905,0.439451637471
445,36047022700,Kings,1345.0,5002.30769231,3657.30769231,0.089552238806,2.71918787532
446,36047023100,Kings,1599.0,6134.34782609,4535.34782609,0.135185185185,2.83636511951
448,36047023300,Kings,798.0,5381.08695652,4583.08695652,0.288805268109,5.74321673749
450,36047023500,Kings,1370.0,5161.66666667,3791.66666667,0.376811594203,2.76763990268
451,36047023800,Kings,1378.0,2250.0,872.0,0.302348336595,0.632801161103
453,36047024100,Kings,1678.0,5199.6,3521.6,0.26213592233,2.09868891538
455,36047024300,Kings,1218.0,5352.6,4134.6,0.1,3.39458128079
456,36047024500,Kings,1172.0,4317.0,3145.0,0.147948164147,2.68344709898
458,36047024700,Kings,1179.0,4088.07692308,2909.07692308,0.199052132701,2.46741045215
459,36047024800,Kings,1236.0,2370.0,1134.0,0.240056818182,0.917475728155
460,36047024900,Kings,1246.0,4528.53658537,3282.53658537,0.150306748466,2.63445953882
462,36047025200,Kings,1214.0,3060.0,1846.0,0.165348670022,1.52059308072
463,36047025400,Kings,1093.0,6900.0,5807.0,0.184759916493,5.31290027447
465,36047025700,Kings,1323.0,2947.5,1624.5,0.381081081081,1.22789115646
468,36047026100,Kings,1392.0,4313.33333333,2921.33333333,0.166332665331,2.09865900383
469,36047026200,Kings,1127.0,2550.0,1423.0,0.20607028754,1.26264418811
472,36047026700,Kings,1147.0,5088.23529412,3941.23529412,0.180327868852,3.43612492949
474,36047026900,Kings,1229.0,5334.82758621,4105.82758621,0.0775623268698,3.34078729553
476,36047027100,Kings,1304.0,3901.66666667,2597.66666667,0.223903177005,1.99207566462
477,36047027200,Kings,1252.0,1890.0,638.0,0.166051660517,0.509584664537
478,36047027300,Kings,906.0,3877.5,2971.5,0.252427184466,3.2798013245
480,36047027500,Kings,1397.0,3966.38297872,2569.38297872,0.183157894737,1.83921473065
481,36047027600,Kings,1222.0,3230.0,2008.0,0.219318181818,1.64320785597
482,36047027700,Kings,1126.0,3887.77777778,2761.77777778,0.320866141732,2.45273337281
483,36047027800,Kings,1233.0,2240.0,1007.0,0.190114068441,0.816707218167
484,36047027900,Kings,1069.0,4059.6,2990.6,0.0594530321046,2.79756782039
488,36047028501,Kings,1941.0,3450.0,1509.0,0.0,0.77743431221
489,36047028502,Kings,437.0,2980.0,2543.0,0.473190348525,5.81922196796
491,36047028700,Kings,752.0,3580.71428571,2828.71428571,0.290940766551,3.76158814589
493,36047028900,Kings,1031.0,3827.36842105,2796.36842105,0.265648854962,2.71228750829
494,36047029000,Kings,1244.0,2550.0,1306.0,0.134515119917,1.0498392283
495,36047029100,Kings,1117.0,4170.0,3053.0,0.0890151515152,2.73321396598
496,36047029200,Kings,1167.0,2340.0,1173.0,0.181556195965,1.00514138817
499,36047029700,Kings,1460.0,4314.13043478,2854.13043478,0.279069767442,1.95488385944
501,36047029900,Kings,1108.0,4860.0,3752.0,0.426890756303,3.38628158845
503,36047030200,Kings,1212.0,3270.0,2058.0,0.186086956522,1.69801980198
505,36047030500,Kings,1545.0,3967.96875,2422.96875,0.273159144893,1.56826456311
508,36047031300,Kings,958.0,3384.54545455,2426.54545455,0.31780167264,2.53292844943
509,36047031500,Kings,1139.0,4372.66666667,3233.66666667,0.216056670602,2.83904009365
510,36047031702,Kings,1379.0,4896.52173913,3517.52173913,0.226388888889,2.55077718574
511,36047031900,Kings,1113.0,4174.28571429,3061.28571429,0.174300254453,2.75048132461
512,36047032100,Kings,1264.0,4948.33333333,3684.33333333,0.218210361068,2.9148206751
513,36047032300,Kings,1266.0,4212.85714286,2946.85714286,0.134570765661,2.32769126608
514,36047032500,Kings,1232.0,3302.0,2070.0,0.176430976431,1.68019480519
515,36047032700,Kings,1095.0,3381.08108108,2286.08108108,0.161958568738,2.08774527953
516,36047032900,Kings,1180.0,4820.0,3640.0,0.126099706745,3.08474576271
